Название вклада;Ссылка на продукт;Процентная ставка;Банк (картинка)
К Совершеннолетию;https://myfin.by//bank/bps-sberbank/vklady/1815-k-sovershennoletiyu;18.75%;https://myfin.by/https://admin.myfin.by/images/bank_logos/sber.svg
Летний бриз Онл@йн;https://myfin.by//bank/belarusbank/vklady/1932-letniyi-briz-onlyin;18.7%;https://myfin.by/https://admin.myfin.by/images/bank_logos/belarus-bank111.svg
ТРИумф;https://myfin.by//bank/technobank/vklady/1633-triumf;18.5%;https://myfin.by/https://admin.myfin.by/images/bank_logos/technobank111.svg
МТБелки на 32 дня;https://myfin.by//bank/mtbank/vklady/1734-mtbelki-32;18.5%;https://myfin.by/https://admin.myfin.by/images/bank_logos/mtbank111.svg
Срочный отзывный;https://myfin.by//bank/bnbank/vklady/1947-srochnyyi-otzyvnyyi-vklad;от 16.5 до 18.5%;https://myfin.by/https://admin.myfin.by/images/bank_logos/bnbank111.svg
Летний бриз;https://myfin.by//bank/belarusbank/vklady/1919-letniyi-briz;18.5%;https://myfin.by/https://admin.myfin.by/images/bank_logos/belarus-bank111.svg
Шчодры онлайн;https://myfin.by//bank/dabrabyt/vklady/1789-shchodry-onlayin;от 18.5 до 20%;https://myfin.by/https://admin.myfin.by/images/bank_logos/dabrabyt111.svg
Копилка;https://myfin.by//bank/belagroprombank/vklady/1952-kopilka;18.35%;https://myfin.by/https://admin.myfin.by/images/bank_logos/belagro111.svg
Плюс к возможностям;https://myfin.by//bank/belagroprombank/vklady/1806-plyus-k-vozmozhnostyam;от 17.3 до 20.05%;https://myfin.by/https://admin.myfin.by/images/bank_logos/belagro111.svg
Весенний 2.0;https://myfin.by//bank/belarusbank/vklady/1594-vesenniyi-20;18.3%;https://myfin.by/https://admin.myfin.by/images/bank_logos/belarus-bank111.svg
RRB-online BYN капитализация;https://myfin.by//bank/rrb-bank/vklady/1792-rrb-online-byn;от 13 до 22.5%;https://myfin.by/https://admin.myfin.by/images/bank_logos/rrb111.svg
Шчодры;https://myfin.by//bank/dabrabyt/vklady/1790-shchodry;от 18 до 19.5%;https://myfin.by/https://admin.myfin.by/images/bank_logos/dabrabyt111.svg
RRB-online BYN проценты на счет;https://myfin.by//bank/rrb-bank/vklady/1801-rrb-online-byn-s-vyplatoyi-protsentov;от 13 до 21%;https://myfin.by/https://admin.myfin.by/images/bank_logos/rrb111.svg
Алтын (отзывный);https://myfin.by//bank/btabank/vklady/1927-altyn-otzyvnyyi;от 15 до 18%;https://myfin.by/https://admin.myfin.by/images/bank_logos/btabank111.svg
Online-решение;https://myfin.by//bank/reshenie/vklady/1488-online-reshenie;от 18 до 22%;https://myfin.by/https://admin.myfin.by/images/bank_logos/bank-resh111.svg
Формула успеха (безотзывный);https://myfin.by//bank/reshenie/vklady/1424-formula-uspeha;от 18 до 22%;https://myfin.by/https://admin.myfin.by/images/bank_logos/bank-resh111.svg
Альфа-Сейф;https://myfin.by//bank/alfabank/vklady/1348-aljfa-seyif;17.5%;https://myfin.by/https://admin.myfin.by/images/bank_logos/alfa111.svg
Новая вершина;https://myfin.by//bank/technobank/vklady/1444-novaya-vershina;17.5%;https://myfin.by/https://admin.myfin.by/images/bank_logos/technobank111.svg
